tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
validate-actions,code-scanning/endorlabs.yml,,,,0,6.8334,0,0
validate-actions,code-scanning/eslint.yml,,,,0,5.0235,0,0
validate-actions,code-scanning/ethicalcheck.yml,,,,0,5.4845,0,0
validate-actions,code-scanning/flawfinder.yml,,,,0,5.6459,0,0
validate-actions,code-scanning/fortify.yml,,,,0,13.4875,0,0
validate-actions,code-scanning/frogbot-scan-and-fix.yml,,,,0,8.4708,0,0
validate-actions,code-scanning/frogbot-scan-pr.yml,,,,0,5.1700,0,0
validate-actions,code-scanning/hadolint.yml,,,,0,6.1518,0,0
validate-actions,code-scanning/jfrog-sast.yml,,,,0,5.5575,0,0
validate-actions,code-scanning/jscrambler-code-integrity.yml,,,,0,5.7632,0,0
validate-actions,code-scanning/kubesec.yml,,,,0,5.4704,0,0
validate-actions,code-scanning/lintr.yml,,,,0,13.7178,0,0
validate-actions,code-scanning/mayhem-for-api.yml,,,,0,5.7105,0,0
validate-actions,code-scanning/mobsf.yml,,,,0,10.4521,0,0
validate-actions,code-scanning/msvc.yml,,,,0,6.3850,0,0
validate-actions,code-scanning/neuralegion.yml,,,,0,11.3569,0,0
validate-actions,code-scanning/njsscan.yml,,,,0,11.9970,0,0
validate-actions,code-scanning/ossar.yml,,,,0,5.7540,0,0
validate-actions,code-scanning/phpmd.yml,,,,0,5.6026,0,0
validate-actions,code-scanning/pmd.yml,,,,0,6.4777,0,0
validate-actions,code-scanning/policy-validator-cfn.yaml,,,,0,7.3823,0,0
validate-actions,code-scanning/policy-validator-tf.yaml,,,,0,6.6554,0,0
validate-actions,code-scanning/powershell.yml,,,,0,5.5145,0,0
validate-actions,code-scanning/prisma.yml,,,,0,5.9123,0,0
validate-actions,code-scanning/psalm.yml,,,,0,5.5709,0,0
validate-actions,code-scanning/puppet-lint.yml,,,,0,5.8226,0,0
validate-actions,code-scanning/pyre.yml,,,,0,5.9608,0,0
validate-actions,code-scanning/pysa.yml,,,,0,5.4126,0,0
validate-actions,code-scanning/rubocop.yml,,,,0,5.4739,0,0
validate-actions,code-scanning/rust-clippy.yml,,,,0,5.8219,0,0
validate-actions,code-scanning/scorecard.yml,,,,0,6.5962,0,0
validate-actions,code-scanning/securitycodescan.yml,,,,0,8.5872,0,0
validate-actions,code-scanning/snyk-container.yml,,,,0,5.6702,0,0
validate-actions,code-scanning/snyk-infrastructure.yml,,,,0,5.6328,0,0
validate-actions,code-scanning/snyk-security.yml,,,,0,5.6181,0,0
validate-actions,code-scanning/sobelow.yml,,,,0,8.0029,0,0
validate-actions,code-scanning/sonarcloud.yml,,,,0,4.7741,0,0
validate-actions,code-scanning/sonarqube.yml,,,,0,4.8831,0,0
validate-actions,code-scanning/soos-dast-scan.yml,,,,0,5.2637,0,0
validate-actions,code-scanning/stackhawk.yml,,,,0,5.1623,0,0
validate-actions,code-scanning/synopsys-action.yml,,,,0,5.4155,0,0
validate-actions,code-scanning/sysdig-scan.yml,,,,0,5.5438,0,0
validate-actions,code-scanning/tfsec.yml,,,,0,5.5632,0,0
validate-actions,code-scanning/trivy.yml,,,,0,5.8408,0,0
validate-actions,code-scanning/veracode.yml,,,,0,6.4273,0,0
validate-actions,code-scanning/xanitizer.yml,,,,0,6.6783,0,0
validate-actions,code-scanning/zscan.yml,,,,0,5.5940,0,0
validate-actions,deployments/alibabacloud.yml,,,,0,6.7067,0,0
validate-actions,deployments/aws.yml,,,,0,7.0985,0,0
validate-actions,deployments/azure-container-webapp.yml,,,,0,6.9377,0,0
validate-actions,deployments/azure-functions-app-container.yml,,,,0,6.3956,0,0
validate-actions,deployments/azure-functions-app-dotnet.yml,,,,0,5.8094,0,0
validate-actions,deployments/azure-functions-app-java-gradle.yml,,,,0,5.3789,0,0
validate-actions,deployments/azure-functions-app-java.yml,,,,0,5.3665,0,0
validate-actions,deployments/azure-functions-app-nodejs.yml,,,,0,5.3993,0,0
validate-actions,deployments/azure-functions-app-powershell.yml,,,,0,4.9290,0,0
validate-actions,deployments/azure-functions-app-python.yml,,,,0,17.7839,0,0
validate-actions,deployments/azure-kubernetes-service-helm.yml,,,,0,8.6644,0,0
validate-actions,deployments/azure-kubernetes-service-kompose.yml,,,,0,17.3580,0,0
validate-actions,deployments/azure-kubernetes-service-kustomize.yml,,,,0,7.7912,0,0
validate-actions,deployments/azure-kubernetes-service.yml,,,,0,6.2922,0,0
validate-actions,deployments/azure-webapps-dotnet-core.yml,,,,0,7.0266,0,0
validate-actions,deployments/azure-webapps-java-jar-gradle.yml,,,,0,26.6760,0,0
validate-actions,deployments/azure-webapps-java-jar.yml,,,,0,7.8314,0,0
validate-actions,deployments/azure-webapps-node.yml,,,,0,38.2238,0,0
validate-actions,deployments/azure-webapps-php.yml,,,,0,22.2069,0,0
validate-actions,deployments/azure-webapps-python.yml,,,,0,16.9325,0,0
validate-actions,deployments/google-cloudrun-docker.yml,,,,0,6.5842,0,0
validate-actions,deployments/google-cloudrun-source.yml,,,,0,5.2846,0,0
validate-actions,deployments/google.yml,,,,0,5.9174,0,0
validate-actions,deployments/ibm.yml,,,,0,6.6002,0,0
validate-actions,deployments/octopusdeploy.yml,,,,0,51.3179,0,0
validate-actions,deployments/openshift.yml,,,,0,41.8932,0,0
validate-actions,deployments/tencent.yml,,,,0,8.0418,0,0
validate-actions,deployments/terraform.yml,,,,0,12.8934,0,0
actionlint,automation/greetings.yml,,,,0,0.0091,0,0
actionlint,automation/label.yml,,,,1,0.0093,1,0
actionlint,automation/manual.yml,,,,0,0.0064,0,0
actionlint,automation/stale.yml,,,,2,0.0093,1,0
actionlint,automation/summary.yml,,,,1,0.0097,1,0
actionlint,ci/ada.yml,,,,0,0.0076,0,0
actionlint,ci/android.yml,,,,0,0.0071,0,0
actionlint,ci/ant.yml,,,,0,0.0072,0,0
actionlint,ci/blank.yml,,,,0,0.0061,0,0
actionlint,ci/c-cpp.yml,,,,0,0.0071,0,0
actionlint,ci/clojure.yml,,,,0,0.0079,0,0
actionlint,ci/cmake-multi-platform.yml,,,,0,0.0062,0,0
actionlint,ci/cmake-single-platform.yml,,,,0,0.0064,0,0
actionlint,ci/crystal.yml,,,,0,0.0100,0,0
actionlint,ci/d.yml,,,,0,0.0069,0,0
actionlint,ci/dart.yml,,,,0,0.0089,0,0
actionlint,ci/datadog-synthetics.yml,,,,0,0.0086,0,0
actionlint,ci/deno.yml,,,,0,0.0091,0,0
actionlint,ci/django.yml,,,,1,0.0053,1,0
actionlint,ci/docker-image.yml,,,,0,0.0043,0,0
actionlint,ci/docker-publish.yml,,,,1,0.0087,1,0
actionlint,ci/dotnet-desktop.yml,,,,0,0.0089,0,0
actionlint,ci/dotnet.yml,,,,0,0.0098,0,0
actionlint,ci/elixir.yml,,,,1,0.0092,1,0
actionlint,ci/erlang.yml,,,,0,0.0081,0,0
actionlint,ci/gem-push.yml,,,,0,0.0083,0,0
actionlint,ci/generator-generic-ossf-slsa3-publish.yml,,,,0,0.0089,0,0
actionlint,ci/go-ossf-slsa3-publish.yml,,,,0,0.0058,0,0
actionlint,ci/go.yml,,,,1,0.0069,1,0
actionlint,ci/gradle-publish.yml,,,,0,0.0072,0,0
actionlint,ci/gradle.yml,,,,0,0.0057,0,0
actionlint,ci/haskell.yml,,,,1,0.0088,1,0
actionlint,ci/ios.yml,,,,0,0.0112,0,0
actionlint,ci/jekyll-docker.yml,,,,0,0.0072,0,0
actionlint,ci/laravel.yml,,,,0,0.0076,0,0
actionlint,ci/makefile.yml,,,,0,0.0088,0,0
actionlint,ci/maven-publish.yml,,,,0,0.0043,0,0
actionlint,ci/maven.yml,,,,0,0.0087,0,0
actionlint,ci/msbuild.yml,,,,0,0.0080,0,0
actionlint,ci/node.js.yml,,,,0,0.0058,0,0
actionlint,ci/npm-grunt.yml,,,,0,0.0072,0,0
actionlint,ci/npm-gulp.yml,,,,0,0.0087,0,0
actionlint,ci/npm-publish-github-packages.yml,,,,0,0.0058,0,0
actionlint,ci/npm-publish.yml,,,,0,0.0059,0,0
actionlint,ci/objective-c-xcode.yml,,,,0,0.0068,0,0
actionlint,ci/php.yml,,,,1,0.0072,1,0
actionlint,ci/pylint.yml,,,,1,0.0090,1,0
actionlint,ci/python-app.yml,,,,1,0.0074,1,0
actionlint,ci/python-package-conda.yml,,,,1,0.0065,1,0
actionlint,ci/python-package.yml,,,,1,0.0088,1,0
actionlint,ci/python-publish.yml,,,,0,0.0090,0,0
actionlint,ci/r.yml,,,,0,0.0074,0,0
actionlint,ci/ruby.yml,,,,0,0.0084,0,0
actionlint,ci/rubyonrails.yml,,,,0,0.0061,0,0
actionlint,ci/rust.yml,,,,0,0.0058,0,0
actionlint,ci/scala.yml,,,,0,0.0055,0,0
actionlint,ci/super-linter.yml,,,,0,0.0090,0,0
actionlint,ci/swift.yml,,,,0,0.0084,0,0
actionlint,ci/symfony.yml,,,,1,0.0083,1,0
actionlint,ci/webpack.yml,,,,0,0.0089,0,0
actionlint,code-scanning/anchore-syft.yml,,,,0,0.0071,0,0
actionlint,code-scanning/anchore.yml,,,,1,0.0068,1,0
actionlint,code-scanning/apisec-scan.yml,,,,1,0.0083,1,0
actionlint,code-scanning/appknox.yml,,,,0,0.0069,0,0
actionlint,code-scanning/bandit.yml,,,,1,0.0067,1,0
actionlint,code-scanning/bearer.yml,,,,1,0.0095,1,0
actionlint,code-scanning/black-duck-security-scan-ci.yml,,,,1,0.0061,1,0
actionlint,code-scanning/brakeman.yml,,,,1,0.0091,1,0
actionlint,code-scanning/checkmarx-one.yml,,,,0,0.0071,0,0
actionlint,code-scanning/checkmarx.yml,,,,1,0.0091,1,0
actionlint,code-scanning/clj-holmes.yml,,,,1,0.0093,1,0
actionlint,code-scanning/clj-watson.yml,,,,1,0.0055,1,0
actionlint,code-scanning/cloudrail.yml,,,,1,0.0093,1,0
actionlint,code-scanning/codacy.yml,,,,1,0.0053,1,0
actionlint,code-scanning/codeql.yml,,,,8,0.0072,1,0
