tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
validate-actions,freeCodeCamp_freeCodeCamp_i18n-validate-prs__registry.yml,registry,unknown_input,1,1,1.6902,1,0
validate-actions,freeCodeCamp_freeCodeCamp_i18n-validate-prs__syntax.yml,syntax,syntax,1,2,0.0056,1,0
validate-actions,godotengine_godot_cache_cleanup__syntax.yml,syntax,syntax,1,2,0.0039,1,0
validate-actions,huggingface_transformers_self-past-caller__registry.yml,registry,unknown_input,0,0,0.0038,0,0
validate-actions,huggingface_transformers_self-past-caller__syntax.yml,syntax,syntax,1,2,0.0025,1,0
validate-actions,langchain-ai_langchain_check-broken-links__registry.yml,registry,unknown_input,1,1,0.8783,1,0
validate-actions,langchain-ai_langchain_check-broken-links__syntax.yml,syntax,syntax,1,2,0.9128,1,0
validate-actions,langflow-ai_langflow_add-labels__execution.yml,execution,nonexistent-seed-job,1,1,0.7145,1,0
validate-actions,langflow-ai_langflow_add-labels__registry.yml,registry,unknown_input,0,2,0.0046,1,0
validate-actions,langflow-ai_langflow_add-labels__schema.yml,schema,shell,1,1,0.6002,1,0
validate-actions,langflow-ai_langflow_add-labels__syntax.yml,syntax,syntax,1,2,0.0042,1,0
validate-actions,langflow-ai_langflow_lint-py__registry.yml,registry,unknown_input,1,1,1.0992,1,0
validate-actions,langflow-ai_langflow_lint-py__syntax.yml,syntax,syntax,1,2,0.0041,1,0
validate-actions,microsoft_PowerToys_dependency-review__execution.yml,execution,nonexistent-seed-job,1,1,0.9588,1,0
validate-actions,microsoft_PowerToys_dependency-review__schema.yml,schema,shell,1,1,1.0921,1,0
validate-actions,microsoft_PowerToys_dependency-review__syntax.yml,syntax,syntax,1,2,0.0050,1,0
validate-actions,microsoft_TypeScript_codeql__registry.yml,registry,unknown_input,1,1,1.3848,1,0
validate-actions,microsoft_TypeScript_codeql__schema.yml,schema,shell,1,1,1.2545,1,0
validate-actions,microsoft_TypeScript_codeql__syntax.yml,syntax,syntax,1,2,1.0698,1,0
validate-actions,microsoft_Web-Dev-For-Beginners_lock__execution.yml,execution,nonexistent-seed-job,1,1,0.9465,1,0
validate-actions,microsoft_Web-Dev-For-Beginners_lock__registry.yml,registry,unknown_input,1,1,0.7759,1,0
validate-actions,microsoft_Web-Dev-For-Beginners_lock__schema.yml,schema,shell,1,1,0.7056,1,0
validate-actions,microsoft_Web-Dev-For-Beginners_lock__syntax.yml,syntax,syntax,1,2,0.0047,1,0
validate-actions,microsoft_vscode_monaco-editor__registry.yml,registry,unknown_input,1,1,1.5372,1,0
validate-actions,microsoft_vscode_monaco-editor__syntax.yml,syntax,syntax,1,2,0.0037,1,0
validate-actions,microsoft_vscode_telemetry__registry.yml,registry,unknown_input,1,1,1.0396,1,0
validate-actions,microsoft_vscode_telemetry__syntax.yml,syntax,syntax,1,2,0.0046,1,0
validate-actions,mrdoob_three.js_ci__registry.yml,registry,unknown_input,1,1,1.5506,1,0
validate-actions,mrdoob_three.js_ci__syntax.yml,syntax,syntax,1,2,0.0039,1,0
validate-actions,mrdoob_three.js_codeql-code-scanning__registry.yml,registry,unknown_input,1,1,1.1079,1,0
validate-actions,mrdoob_three.js_codeql-code-scanning__syntax.yml,syntax,syntax,1,3,0.0038,1,0
validate-actions,mui_material-ui_vale-action__registry.yml,registry,unknown_input,1,1,1.3118,1,0
validate-actions,mui_material-ui_vale-action__syntax.yml,syntax,syntax,1,2,0.0046,1,0
validate-actions,ohmyzsh_ohmyzsh_project__registry.yml,registry,unknown_input,1,1,0.9904,1,0
validate-actions,ohmyzsh_ohmyzsh_project__syntax.yml,syntax,syntax,1,2,0.0038,1,0
validate-actions,puppeteer_puppeteer_devtools__registry.yml,registry,unknown_input,1,1,3.0606,1,0
validate-actions,puppeteer_puppeteer_devtools__syntax.yml,syntax,syntax,1,2,0.0088,1,0
validate-actions,puppeteer_puppeteer_release-please__execution.yml,execution,nonexistent-seed-job,1,1,0.5932,1,0
validate-actions,puppeteer_puppeteer_release-please__registry.yml,registry,unknown_input,1,1,0.5734,1,0
validate-actions,puppeteer_puppeteer_release-please__schema.yml,schema,shell,1,1,0.5891,1,0
validate-actions,puppeteer_puppeteer_release-please__syntax.yml,syntax,syntax,1,2,0.0044,1,0
validate-actions,storybookjs_storybook_prepare-patch-release__registry.yml,registry,unknown_input,1,1,2.2657,1,0
validate-actions,storybookjs_storybook_prepare-patch-release__syntax.yml,syntax,syntax,1,2,0.0044,1,0
validate-actions,supabase_supabase_docs-last-changed__execution.yml,execution,nonexistent-seed-job,1,1,7.1775,1,0
validate-actions,supabase_supabase_docs-last-changed__registry.yml,registry,unknown_input,1,1,6.3639,1,0
validate-actions,supabase_supabase_docs-last-changed__schema.yml,schema,shell,1,1,16.3797,1,0
validate-actions,supabase_supabase_docs-last-changed__syntax.yml,syntax,syntax,1,2,0.0040,1,0
validate-actions,tauri-apps_tauri_test-cli-js__execution.yml,execution,nonexistent-seed-job,1,1,3.4480,1,0
validate-actions,tauri-apps_tauri_test-cli-js__registry.yml,registry,unknown_input,1,1,13.2760,1,0
validate-actions,tauri-apps_tauri_test-cli-js__schema.yml,schema,shell,1,1,2.6934,1,0
validate-actions,tauri-apps_tauri_test-cli-js__syntax.yml,syntax,syntax,1,2,0.0034,1,0
validate-actions,tensorflow_tensorflow_issue-on-pr-rollback__execution.yml,execution,nonexistent-seed-job,1,1,1.9009,1,0
validate-actions,tensorflow_tensorflow_issue-on-pr-rollback__registry.yml,registry,unknown_input,1,1,1.8231,1,0
validate-actions,tensorflow_tensorflow_issue-on-pr-rollback__schema.yml,schema,shell,1,1,1.3490,1,0
validate-actions,tensorflow_tensorflow_issue-on-pr-rollback__syntax.yml,syntax,syntax,1,2,0.0042,1,0
validate-actions,tensorflow_tensorflow_osv-scanner-scheduled__registry.yml,registry,unknown_input,0,0,0.0032,0,0
validate-actions,tensorflow_tensorflow_osv-scanner-scheduled__syntax.yml,syntax,syntax,1,2,0.0023,1,0
validate-actions,vercel_next.js_rspack-nextjs-build-integration-tests__registry.yml,registry,unknown_input,0,0,0.0024,0,0
validate-actions,vercel_next.js_rspack-nextjs-build-integration-tests__syntax.yml,syntax,syntax,1,2,0.0022,1,0
validate-actions,yt-dlp_yt-dlp_quick-test__registry.yml,registry,unknown_input,1,1,1.8531,1,0
